,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
120,QuestionPost_CC,2022-07-28,6953,2022-08-16,3,11717
121,QuestionPost_CC,2022-08-01,1085,2022-08-29,1,1368
122,QuestionPost_CC,2022-08-02,5635,2022-09-12,1,1791
123,QuestionPost_CC,2022-08-03,7252,2022-10-19,3,1392
124,QuestionPost_CC,2022-08-08,6049,2022-10-01,8,44726
125,QuestionPost_CC,2022-08-08,3442,2022-10-21,3,1380
126,QuestionPost_CC,2022-08-10,6612,2022-10-07,2,947
127,QuestionPost_CC,2022-08-10,7450,2022-11-15,2,1452
128,QuestionPost_CC,2022-08-12,1866,2022-08-22,1,5767
129,QuestionPost_CC,2022-08-17,3546,2022-10-13,1,2165
130,QuestionPost_CC,2022-08-17,14001,2022-12-06,11,9565
131,QuestionPost_CC,2022-08-18,6953,2022-09-30,6,12071
132,QuestionPost_CC,2022-08-22,1866,2022-08-26,1,5786
133,QuestionPost_CC,2022-08-22,1025,2022-09-08,1,2913
134,QuestionPost_CC,2022-08-22,8597,2023-05-24,81,12515
135,QuestionPost_CC,2022-08-26,1866,2022-08-29,1,5806
136,QuestionPost_CC,2022-08-26,1305,2023-01-03,2,2228
137,QuestionPost_CC,2022-08-29,3438,2022-11-17,2,529
138,QuestionPost_CC,2022-08-30,1729,2022-09-30,1,3835
139,QuestionPost_CC,2022-08-31,6893,2022-09-28,1,1816
140,QuestionPost_CC,2022-09-02,1866,2022-09-07,1,5822
141,QuestionPost_CC,2022-09-02,8587,2022-11-11,5,4203
142,QuestionPost_CC,2022-09-07,1866,2022-09-15,1,5853
143,QuestionPost_CC,2022-09-07,3803,2022-10-13,3,5747
144,QuestionPost_CC,2022-09-08,1025,2022-09-12,1,2963
145,QuestionPost_CC,2022-09-12,1025,2022-09-29,2,3051
146,QuestionPost_CC,2022-09-12,2389,2023-04-19,1,801
147,QuestionPost_CC,2022-09-13,3884,2022-11-07,2,2293
148,QuestionPost_CC,2022-09-13,554297,2023-06-27,3,1302
149,QuestionPost_CC,2022-09-15,1085,2022-10-19,1,1938
150,QuestionPost_CC,2022-09-15,2126,2022-11-18,1,1687
151,QuestionPost_CC,2022-09-23,7396,2023-02-22,3,2333
152,QuestionPost_CC,2022-09-27,1866,2022-10-07,1,5911
153,QuestionPost_CC,2022-09-28,6715,2023-02-08,3,3354
154,QuestionPost_CC,2022-09-30,1729,2022-10-22,1,4121
155,QuestionPost_CC,2022-09-30,3535,2022-11-03,1,1445
156,QuestionPost_CC,2022-09-30,6953,2022-11-08,2,12270
157,QuestionPost_CC,2022-10-01,6049,2022-11-08,6,48786
158,QuestionPost_CC,2022-10-07,6612,2023-06-01,4,1222
159,QuestionPost_CC,2022-10-10,1025,2022-10-20,1,3166
160,QuestionPost_CC,2022-10-11,8948,2022-12-28,10,11302
161,QuestionPost_CC,2022-10-13,3803,2022-12-05,3,6026
162,QuestionPost_CC,2022-10-13,3546,2022-12-20,2,2398
163,QuestionPost_CC,2022-10-13,8362,2023-01-23,1,2122
164,QuestionPost_CC,2022-10-14,1866,2022-10-19,1,5937
165,QuestionPost_CC,2022-10-19,519176,2022-11-24,1,976
166,QuestionPost_CC,2022-10-19,238010,2023-01-18,4,1087
167,QuestionPost_CC,2022-10-19,5635,2023-02-03,2,1990
168,QuestionPost_CC,2022-10-20,1025,2022-11-08,1,3300
169,QuestionPost_CC,2022-10-26,123024,2022-12-09,1,842
170,QuestionPost_CC,2022-10-26,3721,2022-12-13,1,2099
171,QuestionPost_CC,2022-10-27,1085,2023-04-07,11,4256
172,QuestionPost_CC,2022-11-01,7402,2023-03-08,10,4074
173,QuestionPost_CC,2022-11-01,6568,2023-05-18,34,7739
174,QuestionPost_CC,2022-11-03,1866,2022-11-10,1,5992
175,QuestionPost_CC,2022-11-03,3535,2023-02-14,2,1558
176,QuestionPost_CC,2022-11-05,6928,2023-01-17,1,152
177,QuestionPost_CC,2022-11-08,6953,2022-11-14,2,12266
178,QuestionPost_CC,2022-11-08,1025,2022-11-28,2,3356
179,QuestionPost_CC,2022-11-09,123010,2022-12-28,3,3906
180,QuestionPost_CC,2022-11-09,6957,2023-02-08,4,3098
181,QuestionPost_CC,2022-11-10,1866,2022-11-22,1,6011
182,QuestionPost_CC,2022-11-10,6737,2023-06-08,71,12861
183,QuestionPost_CC,2022-11-10,6315,2023-06-15,58,7697
184,QuestionPost_CC,2022-11-11,8587,2022-12-16,1,4278
185,QuestionPost_CC,2022-11-14,6953,2023-01-27,10,12619
186,QuestionPost_CC,2022-11-15,7450,2022-12-28,1,1643
187,QuestionPost_CC,2022-11-16,8151,2022-11-23,1,1053
188,QuestionPost_CC,2022-11-17,3455,2023-05-17,1,46
189,QuestionPost_CC,2022-11-18,2126,2023-07-05,1,1727
190,QuestionPost_CC,2022-11-23,8151,2023-01-09,1,1117
191,QuestionPost_CC,2022-11-23,3884,2023-03-23,8,2691
192,QuestionPost_CC,2022-11-28,1025,2023-01-05,3,3513
193,QuestionPost_CC,2022-11-29,1866,2022-12-01,1,6019
194,QuestionPost_CC,2022-12-05,3803,2023-01-10,3,6173
195,QuestionPost_CC,2022-12-06,14001,2022-12-22,1,9718
196,QuestionPost_CC,2022-12-06,2927,2023-02-27,5,3477
197,QuestionPost_CC,2022-12-07,3427,2023-02-15,2,2345
198,QuestionPost_CC,2022-12-13,3721,2023-03-08,2,2310
199,QuestionPost_CC,2022-12-14,8320,2023-05-23,7,2373
200,QuestionPost_CC,2022-12-15,3500,2023-04-17,5,1389
201,QuestionPost_CC,2022-12-20,3546,2023-01-23,2,2521
202,QuestionPost_CC,2022-12-21,1866,2022-12-29,2,6089
203,QuestionPost_CC,2022-12-28,8948,2023-01-17,2,11634
204,QuestionPost_CC,2022-12-28,14001,2023-01-18,3,10019
205,QuestionPost_CC,2022-12-28,123010,2023-01-26,2,4166
206,QuestionPost_CC,2022-12-30,1866,2023-01-13,1,6102
207,QuestionPost_CC,2023-01-03,1305,2023-02-06,1,2285
208,QuestionPost_CC,2023-01-03,3490,2023-06-13,15,5189
209,QuestionPost_CC,2023-01-06,1025,2023-01-16,1,3583
210,QuestionPost_CC,2023-01-06,3442,2023-01-17,1,1613
211,QuestionPost_CC,2023-01-10,3803,2023-02-24,8,6364
212,QuestionPost_CC,2023-01-11,6193,2023-03-28,19,6129
213,QuestionPost_CC,2023-01-13,1866,2023-01-31,4,6206
214,QuestionPost_CC,2023-01-17,8948,2023-02-07,7,12056
215,QuestionPost_CC,2023-01-17,8758,2023-02-10,1,1918
216,QuestionPost_CC,2023-01-18,14001,2023-01-26,2,10115
217,QuestionPost_CC,2023-01-18,238010,2023-05-09,2,1288
218,QuestionPost_CC,2023-01-23,3442,2023-02-21,1,1682
219,QuestionPost_CC,2023-01-23,3546,2023-02-24,1,2581
220,QuestionPost_CC,2023-01-24,7362,2023-04-14,1,1003
221,QuestionPost_CC,2023-01-25,3471,2023-02-08,1,1201
222,QuestionPost_CC,2023-01-25,562312,2023-03-15,1,10
223,QuestionPost_CC,2023-01-25,7721,2023-04-03,38,13227
224,QuestionPost_CC,2023-01-26,123010,2023-02-02,2,4294
225,QuestionPost_CC,2023-01-26,14001,2023-04-11,42,10940
226,QuestionPost_CC,2023-01-27,6953,2023-03-10,19,12857
227,QuestionPost_CC,2023-02-01,1866,2023-02-23,6,6283
228,QuestionPost_CC,2023-02-02,123010,2023-03-14,6,4779
229,QuestionPost_CC,2023-02-03,5635,2023-03-15,2,2053
230,QuestionPost_CC,2023-02-03,5740,2023-07-13,8,2414
231,QuestionPost_CC,2023-02-06,1305,2023-03-10,2,2364
232,QuestionPost_CC,2023-02-07,8151,2023-04-24,1,1132
233,QuestionPost_CC,2023-02-08,6957,2023-04-27,2,2615
234,QuestionPost_CC,2023-02-09,8948,2023-04-28,42,13866
235,QuestionPost_CC,2023-02-13,3563,2023-06-13,1,421
236,QuestionPost_CC,2023-02-14,3535,2023-03-21,1,1960
237,QuestionPost_CC,2023-02-17,2560,2023-04-26,1,1835
238,QuestionPost_CC,2023-02-21,8758,2023-03-20,2,2003
239,QuestionPost_CC,2023-02-23,1025,2023-03-21,1,3823
240,QuestionPost_CC,2023-02-23,1866,2023-03-31,6,6387
241,QuestionPost_CC,2023-02-24,3803,2023-03-06,1,6447
242,QuestionPost_CC,2023-02-24,3546,2023-04-07,1,2612
243,QuestionPost_CC,2023-02-24,8721,2023-05-23,5,4993
244,QuestionPost_CC,2023-03-02,1928,2023-05-10,28,7399
245,QuestionPost_CC,2023-03-03,4273,2023-04-24,5,5061
246,QuestionPost_CC,2023-03-06,3803,2023-03-24,5,6552
247,QuestionPost_CC,2023-03-10,6953,2023-05-04,27,13224
248,QuestionPost_CC,2023-03-10,1305,2023-06-23,1,2380
249,QuestionPost_CC,2023-03-14,123010,2023-03-28,2,4951
250,QuestionPost_CC,2023-03-20,8758,2023-04-21,1,2120
251,QuestionPost_CC,2023-03-21,3442,2023-04-20,2,1820
252,QuestionPost_CC,2023-03-21,3535,2023-05-11,2,2404
253,QuestionPost_CC,2023-03-21,6952,2023-05-31,34,11735
254,QuestionPost_CC,2023-03-24,3803,2023-05-05,9,6782
255,QuestionPost_CC,2023-03-27,1025,2023-05-01,3,4075
256,QuestionPost_CC,2023-03-28,123010,2023-04-08,2,5021
257,QuestionPost_CC,2023-03-30,5231,2023-06-14,1,319
258,QuestionPost_CC,2023-03-31,1866,2023-04-11,3,6449
259,QuestionPost_CC,2023-03-31,6465,2023-05-22,2,2892
260,QuestionPost_CC,2023-04-06,2644,2023-07-12,1,1850
261,QuestionPost_CC,2023-04-07,1085,2023-04-28,3,4494
262,QuestionPost_CC,2023-04-11,1866,2023-04-28,4,6530
263,QuestionPost_CC,2023-04-11,6466,2023-06-30,1,545
264,QuestionPost_CC,2023-04-12,3438,2023-05-05,1,617
265,QuestionPost_CC,2023-04-24,2579,2023-06-07,1,164
266,QuestionPost_CC,2023-04-25,5635,2023-06-27,1,2075
267,QuestionPost_CC,2023-04-28,1085,2023-06-20,3,5037
268,QuestionPost_CC,2023-05-01,1025,2023-05-30,3,4130
269,QuestionPost_CC,2023-05-04,1866,2023-05-11,1,6570
270,QuestionPost_CC,2023-05-04,6953,2023-05-31,21,13664
271,QuestionPost_CC,2023-05-05,3803,2023-05-09,1,6836
272,QuestionPost_CC,2023-05-08,3167,2023-05-24,1,596
273,QuestionPost_CC,2023-05-09,3803,2023-05-11,1,6836
274,QuestionPost_CC,2023-05-10,1928,2023-06-11,8,7668
275,QuestionPost_CC,2023-05-11,1866,2023-05-24,1,6609
276,QuestionPost_CC,2023-05-11,3803,2023-05-25,6,6918
277,QuestionPost_CC,2023-05-19,3442,2023-06-20,1,1880
278,QuestionPost_CC,2023-05-23,8721,2023-07-07,6,5216
279,QuestionPost_CC,2023-05-24,8597,2023-05-31,4,12548
280,QuestionPost_CC,2023-05-24,1866,2023-06-06,3,6644
281,QuestionPost_CC,2023-05-24,3167,2023-07-05,1,684
282,QuestionPost_CC,2023-05-25,3803,2023-05-26,1,6931
283,QuestionPost_CC,2023-05-26,3803,2023-06-21,5,7094
284,QuestionPost_CC,2023-05-30,1025,2023-06-21,7,4379
285,QuestionPost_CC,2023-05-31,6953,2023-06-08,4,13803
286,QuestionPost_CC,2023-05-31,8597,2023-07-05,17,12879
287,QuestionPost_CC,2023-06-01,3471,2023-06-29,1,2182
288,QuestionPost_CC,2023-06-06,1866,2023-07-06,11,6749
289,QuestionPost_CC,2023-06-07,8758,2023-06-09,1,2309
290,QuestionPost_CC,2023-06-13,8151,2023-07-06,1,1291
291,QuestionPost_CC,2023-06-21,3803,2023-06-27,1,7102
292,QuestionPost_CC,2023-06-27,3803,2023-07-12,4,7209
293,QuestionPost_CC,2023-07-06,1866,2023-07-12,2,6765
